id,text,file_path,predicted_iprocedure,predicted_posize,predicted_podisease,predicted_otreatment,predicted_idiagnostic,predicted_opatient,predicted_prdisease,predicted_pogender,predicted_poage,predicted_idiagnostictest,predicted_iss,predicted_pophyconditon,predicted_poss,predicted_prss,predicted_poprocedure,predicted_potreatment,predicted_idisease,predicted_pomedhistory,predicted_prbehavior,predicted_poclinical,value_posize,value_podisease,value_iprocedure,value_iss,value_opatient,value_otreatment,value_prdisease,value_pogender,value_idiagnostic,value_idiagnostictest,value_poage,value_pophyconditon,value_idisease,value_prss,value_poss,value_potreatment,value_poprocedure,value_poclinical,value_prbehavior,value_pomedhistory,predicted_p,predicted_i,predicted_o,value_p,value_i,value_o
656,in summary ascot bpla has shown that blood pressure can be lowered effectively in most patients,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16154016_element.csv,0.040017832,0.029227113,0.031710088,0.409562767,0.029571224,0.082654312,0.035830501,0.018418351,0.019850576,0.019277032,0.030150045,0.023517599,0.018865168,0.020189008,0.016585087,0.017699983,0.014474084,0.011473344,0.012744804,0.010998514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047322698,0.049885858,0.960316241,0,0,1
657,patients were eligible for inclusion if they were aged under 75 years self caring adequately literate in the english objective to estimate the incremental effects on cost and quality of life of cardiac rehabilitation after an acute coronary syndrome,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16274344_element.csv,0.050463539,0.05834461,0.154593706,0.036449481,0.040331207,0.034172934,0.05461397,0.028641218,0.054542467,0.024478778,0.025215231,0.045406155,0.031945243,0.016923329,0.019405968,0.014703142,0.018640779,0.018201044,0.009642118,0.009471114,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.037341624,0.056658138,0.956272185,0,0,1
658,participants 113 patients aged 41 75 years who were self caring and literate in english,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16274344_element.csv,0.065444544,0.060650062,0.060299724,0.026738029,0.027742006,0.029169559,0.032813091,0.024994567,0.035754986,0.020781482,0.021170106,0.024028128,0.019716695,0.01310546,0.013482158,0.012214564,0.011600182,0.00988707,0.008712875,0.006637634,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.058169488,0.043786503,0.966994643,0,0,1
659,methods participants consecutive patients from two tertiary teaching hospitals of the central sydney area health service new south wales were recruited over a 2 year period after uncomplicated acute myocardial infarction ami or recovery from unstable angina and followed up for 12 months,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16274344_element.csv,0.090164147,0.063856415,0.11410895,0.022144131,0.035912748,0.026127953,0.043460038,0.031853016,0.043649837,0.023557348,0.023512021,0.032615073,0.029671978,0.014301023,0.016133515,0.012781143,0.014532745,0.013482286,0.008920143,0.008326592,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.94533056,0.064363495,0.13701807,1,0,0
660,patients from both groups received individualised medical treatment including non invasive and invasive cardiological procedures surgical revascularisation pharmacotherapy and lifestyle counselling as determined by their usual doctors,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16274344_element.csv,0.457466453,0.064350247,0.041714322,0.029470706,0.040622853,0.028361239,0.034760591,0.032392289,0.02300955,0.02320222,0.023929225,0.020932302,0.025871774,0.016852118,0.016079938,0.01732694,0.017214956,0.014200815,0.011787314,0.015531621,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947686076,0.073685013,0.116532296,1,0,0
661,patients allocated to rehabilitation were to start within 2 weeks of leaving hospital and were offered a 6 week package of thrice weekly sessions each comprising 60 90 minutes of supervised exercise combined with 45 minutes of education 12 occasions and 45 minutes of psychosocial counselling 6 occasions,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16274344_element.csv,0.505464852,0.065999582,0.038232584,0.038384479,0.043118522,0.03224748,0.035350077,0.03488389,0.02261153,0.024957636,0.026034171,0.022796454,0.026403949,0.01935197,0.017466651,0.020940209,0.019077731,0.01527358,0.013425639,0.017758477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937266707,0.141231656,0.064233899,1,0,0
662,participants were allocated at random to hospital based cardiac rehabilitation or conventional care and followed up for 12 months,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16274344_element.csv,0.336370349,0.056705579,0.030418025,0.030952672,0.032997265,0.026194397,0.02901073,0.025876993,0.018822705,0.020012721,0.019764317,0.017590903,0.019308252,0.014559382,0.013712326,0.01500435,0.012877123,0.010795332,0.009817685,0.011454106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083925009,0.944319904,0.061323073,0,1,0
663,these additional costs of rehabilitation were partially offset by lower costs for medication 117 ambulance 143 and other consultations 66,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16274344_element.csv,0.043030843,0.03074757,0.027891897,0.15478678,0.025994081,0.054228194,0.026131345,0.015812589,0.017737055,0.01622857,0.023658298,0.018262107,0.01437999,0.016242506,0.011648432,0.011986997,0.010069513,0.007272917,0.008812559,0.007032244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093125276,0.945779264,0.050099552,0,1,0
664,rehabilitation costs of 631 per patient were offset by a reduction in followup costs of 236 resulting in a net incremental cost per patient of 395,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16274344_element.csv,0.038980562,0.031677581,0.030531546,0.122642651,0.025472475,0.047829665,0.027591256,0.016318722,0.018750053,0.016160171,0.022916608,0.018567329,0.014486618,0.015652273,0.011207373,0.011579338,0.009922088,0.007052466,0.008135964,0.006530903,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095764831,0.946769834,0.055909682,0,1,0
665,to avoid dilution of any treatment effect resulting from aborted infarctions we excluded patients who presented within 2 h of symptom onset,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16413875_element.csv,0.052371841,0.044351116,0.100254208,0.034673117,0.029917948,0.027624998,0.041432831,0.022649566,0.03174372,0.017852567,0.021533163,0.031051887,0.024238825,0.013353576,0.013082846,0.011669911,0.012926677,0.011803777,0.007106497,0.007497409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.039646029,0.090380095,0.955882072,0,0,1
666,we included patients aged 18 75 years with acute myocardial infarction with cumulative st segment elevation of 6 mm or more successful epicardial reperfusion after percutaneous coronary intervention with stent replacement and significant lv dysfunction hypokinesia or akinesia involving more than half of the anterior septal or inferior wall using angiography or involving three contiguous segments or more out of 17 using echocardiography,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16413875_element.csv,0.071912758,0.077500656,0.243236184,0.035074901,0.057040047,0.037328966,0.075296633,0.032209639,0.074703336,0.030057097,0.033665217,0.069778152,0.046135195,0.022582565,0.026675215,0.016620254,0.028021989,0.02953851,0.013246392,0.015613609,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.028842738,0.123549998,0.945691586,0,0,1
667,microvascular obstruction prevalent in more than half of patients irrespective of cell transfer n 19 controls n 17 bmsc precluded lv function recovery mean ejection fraction at 4 months 47 sd 9 vs 46 8 at baseline and was associated with adverse remodelling lvedv 162 ml 33 at day 4 vs 175 ml 43 at follow up p 0 014,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16413875_element.csv,0.044636715,0.036193408,0.035719901,0.430357963,0.036643062,0.111624688,0.036597744,0.020900335,0.024430154,0.023524016,0.039166484,0.026334181,0.021747973,0.027882371,0.019975651,0.020527707,0.016948765,0.011259086,0.015792379,0.012826877,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.934598744,0.088102795,0.063068964,1,0,0
668,our aim was to investigate the effect of autologous bone marrow derived stem cell bmsc transfer in the infarct related artery on lv function and structure,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16413875_element.csv,0.038704216,0.025809035,0.029647702,0.141882271,0.023992283,0.042013433,0.031197948,0.015854524,0.016478699,0.014985144,0.020927064,0.018289519,0.013659509,0.014118577,0.011158957,0.011798278,0.009552566,0.007971492,0.007944707,0.006560681,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948595762,0.099592909,0.057148121,1,0,0
669,we harvested bone marrow from every patient under local anaesthesia posterior iliac crest punctures by a staff haematologist and isolated bmsc by ficoll density gradient centrifugation,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16413875_element.csv,0.132044643,0.055318478,0.080891922,0.019795468,0.033785705,0.02251959,0.035366245,0.026596444,0.02979823,0.019573553,0.020050354,0.025618412,0.024595739,0.012372429,0.01339501,0.011189991,0.012430233,0.011509917,0.0080193,0.008292312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.818082511,0.122905686,0.049566723,1,0,0
670,patients with larger myocardial infarctions had a greater increase in metabolic activity after cell transfer than after placebo infusion 28 8 6 9 in bmsc n 9 vs 15 9 7 9 in controls n 9 or for treatment effect 1 205 95 ci 1 063 1 366 p 0 012,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16413875_element.csv,0.048051327,0.037348773,0.034489129,0.497673303,0.03678298,0.117549554,0.036917891,0.02102039,0.023230096,0.02417228,0.040103696,0.026831232,0.022720426,0.028094931,0.020794405,0.021873496,0.01790992,0.012417761,0.017114017,0.014116453,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939127803,0.083520323,0.107027605,1,0,0
671,furthermore lv volumes did not differ between the group treated and the group that received placebo at baseline and at 4 months follow up,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16413875_element.csv,0.042697914,0.030715125,0.028243564,0.330987155,0.03025814,0.080481507,0.030979116,0.017197466,0.018888304,0.018891549,0.029484088,0.021603953,0.017225809,0.020667039,0.015332544,0.016373886,0.013357618,0.009900952,0.012243963,0.009993123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093543701,0.945782959,0.056926332,0,1,0
672,with respect to cell transfer centrifugation and resuspension reduced cell volume from the bone marrow harvest mean 130 ml sd 22 to a final volume of 10 ml which we injected into the infarct related coronary artery and which contained 304 10 6 sd 128 10 lesion during cell or placebo injection did not impair timi frame count or trigger an increase in concentrations of troponin,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16413875_element.csv,0.070221052,0.041906871,0.067882605,0.034162991,0.027038565,0.025295794,0.036468122,0.023881247,0.025425795,0.017824415,0.021690765,0.022791408,0.020021224,0.012682922,0.01135448,0.010673986,0.010672923,0.008083167,0.006550153,0.006584754,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.041970193,0.051779944,0.960388422,0,0,1
673,results 741 women were randomised 365 to the misoprostol group and 376 to the vaginal dinoprostone group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.113567829,0.052224517,0.037044376,0.024923759,0.026947292,0.024455128,0.026898084,0.020749047,0.022483878,0.017968187,0.018312734,0.017396014,0.016336694,0.012120022,0.01143439,0.010174646,0.009309806,0.007137559,0.007448587,0.006349082,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.038174134,0.073584728,0.962285459,0,0,1
674,objective to compare oral misoprostol solution with vaginal prostaglandin gel dinoprostone for induction of labour at term to determine whether misoprostol is superior,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.036944244,0.024706805,0.038858965,0.136117533,0.024316419,0.041289255,0.035536356,0.016820168,0.018087734,0.015931116,0.021977959,0.020179421,0.014940584,0.014240868,0.011452957,0.01230136,0.009897335,0.008250818,0.007414638,0.007038269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038693268,0.861482978,0.174828514,0,1,0
675,we excluded women with a favourable cervix defined as a modified bishop score of 7 any contraindication to vaginal birth previous uterine surgery including caesarean section or ruptured membranes,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.089063369,0.0603779,0.121814534,0.022168521,0.037065443,0.02566413,0.043364808,0.02674647,0.040032223,0.020539675,0.022957554,0.034797478,0.030126315,0.014149361,0.015154693,0.012318938,0.014856019,0.01460903,0.008633586,0.008835705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932071805,0.155621409,0.034358095,1,0,0
676,of these 741 78 8 were admitted for induction of labour and randomised 365 women to oral misoprostol and 376 to vaginal dinoprostone,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.192011565,0.066681243,0.047221929,0.020146025,0.032956339,0.02344585,0.030032769,0.026913635,0.027947539,0.021464918,0.020392802,0.020073242,0.020255363,0.013152687,0.013448219,0.011587118,0.0115151,0.009459213,0.00895501,0.00839797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946597755,0.094809413,0.071853176,1,0,0
677,interventions 20 g oral misoprostol solution at two hourly intervals and placebo vaginal gel or vaginal dinoprostone gel at six hourly intervals and placebo oral solution,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.518913746,0.063817695,0.039261628,0.04086715,0.045115568,0.033686154,0.037777547,0.034833051,0.02259225,0.02599133,0.026374828,0.023678152,0.027023779,0.020241432,0.018516548,0.021689536,0.020842222,0.017395198,0.014277773,0.020005383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945876181,0.08785212,0.069392532,1,0,0
678,conclusions this trial shows no evidence that oral misoprostol is superior to vaginal dinoprostone for induction of labour,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.039701231,0.030386919,0.038684402,0.538169086,0.033306666,0.099501699,0.044975035,0.021133792,0.023001255,0.02220919,0.035455056,0.028247716,0.022760196,0.024058279,0.020975498,0.021143502,0.018072233,0.013724359,0.015396387,0.013684997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161523864,0.927740157,0.026620723,0,1,0
679,oral misoprostol was associated with an increased need for further doses of vaginal dinoprostone gel and infusion of oxytocin but a significant reduction in uterine hyperstimulation without changes in fetal heart rate,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.048250105,0.035465296,0.048020825,0.686439931,0.040736087,0.126095936,0.05800271,0.026137527,0.027361479,0.027996605,0.046727613,0.037122857,0.029890951,0.032665238,0.029794658,0.028535984,0.025223097,0.018686537,0.020513814,0.019764131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081471086,0.948004901,0.063102782,0,1,0
680,women in the oral misoprostol group were more likely to have a low bishop score 7 24 hours after the induction was started to require vaginal dinoprostone gel to have infusion of oxytocin and to have a longer time between induction and birth table 4,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.041662682,0.03024685,0.03238837,0.212562695,0.029656705,0.061882593,0.03195598,0.017153895,0.019093908,0.017564544,0.027655745,0.021096991,0.016251003,0.019314529,0.013344106,0.013689929,0.011808095,0.008268465,0.009955999,0.008180293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054756053,0.041675348,0.964541197,0,0,1
681,nevertheless our results provide reliable evidence on the use of oral misoprostol for induction of labour at term and contribute to the available information about its safety,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16455695_element.csv,0.042884663,0.031552557,0.037007876,0.544118762,0.03351317,0.099381067,0.043732144,0.02122516,0.022108836,0.021959437,0.035922147,0.027853794,0.022875244,0.024156908,0.020992985,0.021364171,0.017887859,0.013614661,0.015759898,0.013781722,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027819484,0.10186094,0.940666616,0,0,1
682,the trial was managed patients were eligible to enroll in the trial if they were 45 years of age or older and had one of the following conditions multiple atherothrombotic risk factors documented coronary disease documented cerebrovascular disease or documented symptomatic peripheral arterial disease,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16531616_element.csv,0.072537296,0.083553448,0.25597474,0.035302002,0.05986717,0.039395295,0.078706704,0.033088356,0.083350524,0.032227177,0.03335201,0.07468418,0.046338174,0.023762269,0.029826833,0.017193025,0.029834663,0.033376589,0.014426372,0.016591933,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.049490299,0.057226609,0.921678722,0,0,1
683,to meet the criterion for enrollment on the basis of multiple risk factors patients were required to have two major or three minor or one major and two minor atherothrombotic risk factors,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16531616_element.csv,0.069598168,0.058591042,0.122638576,0.025655575,0.03424431,0.026984731,0.043298237,0.026750801,0.041796315,0.020503642,0.02249416,0.035175323,0.029041028,0.014055947,0.015013478,0.012324254,0.014579545,0.014442795,0.008233224,0.008185646,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053082183,0.046736356,0.964507461,0,0,1
684,the subgroups included symptomatic patients defined as patients enrolled on the basis of established cardiovascular disease as compared with asymptomatic patients those enrolled on the basis of multiple atherothrombotic risk factors as well as patients with and those without a history of diabetes hypertension hypercholesterolemia peripheral arterial disease prior cardiac or vascular surgery prior myocardial infarction prior stroke prior transient ischemic attack or prior use of other antiplatelet agents angiotensin converting enzyme ace inhibitors overall and ramipril vs other ace inhibitors statins overall and atorvastatin simvastatin and pravastatin beta blockers calcium antagonists antidiabetic agents angiotensin ii receptor blockers cyclooxygenase 2 inhibitors and anticoagulants,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16531616_element.csv,0.131611526,0.08104559,0.251736581,0.031779714,0.064071439,0.033849914,0.080775775,0.035114575,0.067679137,0.029213291,0.038706452,0.073448092,0.048864428,0.024174057,0.027289182,0.015979249,0.030529827,0.031804778,0.013935934,0.019891109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95045191,0.078594401,0.086701743,1,0,0
685,patients who were enrolled because they had documented cardiovascular disease were designated symptomatic whereas those who were enrolled because they had multiple atherothrombotic risk factors without documented cardiovascular disease were designated asymp tomatic,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16531616_element.csv,0.067973718,0.073714107,0.199320093,0.032144587,0.046746295,0.034359861,0.060940735,0.029269788,0.062469244,0.025523148,0.028525025,0.05692485,0.038498711,0.01891824,0.02184364,0.014572741,0.023143167,0.024085356,0.011168865,0.012653899,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.950485647,0.08537738,0.085444309,1,0,0
686,with a median of 28 months of follow up the rate of the primary event was 6 8 percent in the clopidogrel group and 7 3 percent in the placebo group relative risk 0 93 95 percent confidence interval 0 83 to 1 05 p 0 22 fig,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16531616_element.csv,0.047664296,0.049557749,0.048000958,0.045383226,0.027584527,0.037270691,0.032090988,0.022448283,0.03128539,0.020298857,0.022774953,0.022542555,0.018080994,0.014714049,0.012074563,0.01241737,0.011831208,0.008034757,0.008773497,0.006111276,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.943319559,0.109789431,0.045254823,1,0,0
687,there was a moderate though significant benefit in reducing the secondary composite end point of myocardial infarction stroke death from cardiovascular causes or hospitalization for unstable angina transient ischemic attack or revascularization,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16531616_element.csv,0.042685237,0.034025755,0.050614167,0.667661011,0.039611422,0.129011482,0.057288349,0.025659762,0.028685372,0.027156709,0.044840366,0.036162499,0.029429886,0.030839056,0.028218837,0.027049933,0.023560908,0.017682705,0.01900789,0.018783806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409092873,0.610737801,0.029340491,0,1,0
688,in contrast clopidogrel had no significant effect on death from cardiovascular causes in the symptomatic subgroup,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16531616_element.csv,0.04027326,0.031059885,0.037434779,0.522311926,0.032741949,0.102951303,0.04215828,0.020824831,0.022673991,0.022123603,0.036127772,0.027268406,0.022595035,0.023558337,0.020150544,0.020508019,0.01748943,0.013616865,0.014792042,0.01379013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109741069,0.93269068,0.039475765,0,1,0
689,in summary the combination of clopidogrel plus aspirin was not significantly more effective than aspirin alone in reducing the rate of myocardial infarction stroke or death from cardiovascular causes among patients with stable cardiovascular disease or multiple cardiovascular risk factors,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16531616_element.csv,0.041113392,0.033101071,0.042356919,0.575794578,0.034882318,0.114397906,0.045913845,0.022373891,0.024328962,0.023861324,0.041251089,0.029801441,0.025501234,0.026664082,0.022536632,0.022707375,0.019041277,0.014694326,0.016006406,0.015134892,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059901897,0.042865254,0.965427935,0,0,1
690,sample a total of 1483 women in active labour with singleton term fetus in cephalic presentation,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16553653_element.csv,0.054773185,0.049013272,0.064052969,0.029320624,0.025904519,0.026634611,0.034001146,0.023815498,0.030985694,0.018618526,0.020323675,0.023455219,0.019179648,0.012435351,0.012536943,0.011243512,0.010791462,0.009203207,0.007352788,0.006268051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04601524,0.051718004,0.966524243,0,0,1
691,objective to examine whether intrapartum monitoring by means of automatic st analysis stan of fetal electrocardiography could reduce the rate of neonatal acidemia and the rate of operative intervention during labour compared with monitoring by means of cardiotocography ctg,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16553653_element.csv,0.04201648,0.034236189,0.088469468,0.068381466,0.030299515,0.035115242,0.047409404,0.021338364,0.028963391,0.018414784,0.023373313,0.031161722,0.021887805,0.015151385,0.013001727,0.013303848,0.013191165,0.010930752,0.007198959,0.008000107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041489247,0.058044367,0.964216113,0,0,1
692,the participants were consecutive women in active labour with term 36 0 gestational weeks pregnancy having a singleton fetus in a cephalic presentation and among whom amniotomy had been decided,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16553653_element.csv,0.062587224,0.061982088,0.143389866,0.027737679,0.03708262,0.030890903,0.048378304,0.031724833,0.049591716,0.023964947,0.02556074,0.038883463,0.031967089,0.015507992,0.018123304,0.013814515,0.016817296,0.015644502,0.009031334,0.008965672,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949247658,0.085701123,0.068053678,1,0,0
693,methods women were randomly assigned to be monitored either by stan or by ctg,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16553653_element.csv,0.17955564,0.046598081,0.029923754,0.028406907,0.025517991,0.023426445,0.024335045,0.020931393,0.016901152,0.016465472,0.016751025,0.0155989,0.015213191,0.011311674,0.010961344,0.010991742,0.009322992,0.007619177,0.006971493,0.007370586,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945223689,0.094556808,0.059335675,1,0,0
694,intermittent fetal blood sampling fbs for ph determination during periods of nonreassuring ctg has been used as a complementary method to improve specificity,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16553653_element.csv,0.038307548,0.026906673,0.032118957,0.130154207,0.023924621,0.042039942,0.030262254,0.015968306,0.017396349,0.015181954,0.021543186,0.018366512,0.013902169,0.014162189,0.010870893,0.011700837,0.009492212,0.007334254,0.007594227,0.006465508,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.946803927,0.110470913,0.062404748,1,0,0
695,power analysis calculated using stata 7 0 software stata corp lp bryan college station tx usa to show a 50 reduction in the incidence of neonatal acidemia indicated a sample size of 761 per arm a 0 05 b 0 20,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16553653_element.csv,0.162923872,0.059613775,0.038353134,0.02444098,0.031367403,0.025297036,0.028889107,0.023266256,0.024933204,0.020242918,0.0202669,0.018411763,0.01845346,0.013433789,0.012422463,0.011315364,0.010515448,0.007990485,0.008740996,0.00740108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10151305,0.944317222,0.049549241,0,1,0
696,if scalp blood ph was 7 20 immediate delivery was recommended according to our current labour ward protocol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16553653_element.csv,0.161159828,0.054349817,0.039428666,0.021800179,0.028406868,0.022302015,0.026605258,0.022424752,0.021967599,0.018253602,0.017807376,0.017374655,0.017201858,0.011710192,0.011745741,0.010664619,0.009651256,0.008026878,0.007578676,0.007288877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034017581,0.73514986,0.32246533,0,1,0
697,when considering a ph value lower than 7 10 as a criterion of neonatal acidemia there was no difference between the groups,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16553653_element.csv,0.036981873,0.03056819,0.029072149,0.240041763,0.027916377,0.071081616,0.029718699,0.017046651,0.019984093,0.017893832,0.026976638,0.020733582,0.016657118,0.018097794,0.013586291,0.014292545,0.011874671,0.009119094,0.010243457,0.008687263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059355624,0.896030962,0.11514882,0,1,0
698,seventy two patients were randomized to return to full normal activities including work at 2 weeks after ami without a formal rehabilitation program early return to normal activities erna group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16563893_element.csv,0.424386561,0.059289269,0.035720959,0.031242611,0.039196067,0.028466057,0.032151379,0.030192079,0.020734509,0.022554591,0.022098549,0.019321654,0.021729527,0.016397255,0.015181297,0.016543454,0.015574322,0.012516269,0.010897109,0.014102397,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070211604,0.905964494,0.117676631,0,0,1
699,if left ventricular ejection fraction was 40 patients could have electrophysiologic studies if there was no inducible ventricular tachycardia cycle length 230 ms they were eligible to be included in the trial,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16563893_element.csv,0.083405793,0.070251167,0.177468792,0.026270043,0.048158817,0.030369025,0.058587577,0.030764684,0.05658764,0.025215711,0.02888204,0.050743133,0.038376752,0.018155929,0.020108042,0.014272298,0.020658458,0.020799916,0.010513206,0.011419001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057514239,0.051211182,0.934811831,0,0,1
700,during the trial period 1 249 patients who were 75 years of age were screened figure 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16563893_element.csv,0.065959841,0.062340051,0.054621875,0.02720708,0.028100392,0.029972157,0.031686194,0.023943294,0.034923863,0.020969704,0.020891162,0.023027971,0.019505495,0.01344722,0.013431085,0.012211151,0.011368621,0.009563798,0.009078579,0.006550708,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.455925703,0.782560408,0.013482451,1,1,0
701,patients with left ventricular ejection fraction 40 were included only if they did not have inducible ventricular tachycardia at electrophysiologic studies,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\16563893_element.csv,0.070179157,0.059998225,0.146248445,0.027564907,0.039252438,0.02875117,0.048375085,0.026270701,0.044006653,0.021224031,0.025207542,0.041718256,0.032630879,0.015738172,0.016485702,0.012920595,0.017389879,0.016773053,0.008892872,0.009734642,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.944797993,0.094662525,0.052999958,1,0,0
